Time(ms),Power(mW)
0,66561
20,66561
40,66561
60,65959
80,65959
100,65959
120,65959
140,65959
160,65959
180,65959
200,65959
220,65959
240,65892
260,65892
280,65892
300,65892
320,65892
340,65892
360,65892
380,65892
400,65892
420,65959
440,65959
460,65959
480,65959
500,65959
520,65959
540,65959
560,65959
580,65959
600,65959
620,66287
640,66287
660,66287
680,66287
700,65892
720,65892
740,65892
760,65892
780,65892
800,66561
820,66561
840,66561
860,66561
880,65892
900,65892
920,65892
940,65892
960,65892
980,65892
1000,65892
1020,65892
1040,65892
1060,65959
1080,65959
1100,65959
1120,65959
1140,65959
1160,65959
1180,65959
1200,65959
1220,65959
1240,65959
1260,65959
1280,65959
1300,65959
1320,65959
1340,66287
1360,66287
1380,66287
1400,66287
1420,65959
1440,65959
1460,65959
1480,65959
1500,65959
1520,66287
1540,66287
1560,66287
1580,66287
1600,66287
1620,66287
1640,66287
1660,66287
1680,66287
1700,65959
1720,65959
1740,65959
1760,65959
1780,65959
1800,66287
1820,66287
1840,66287
1860,66287
1880,65959
1900,65959
1920,65959
1940,65959
1960,65959
1980,66287
2000,66287
2020,66287
2040,66287
2060,65959
2080,65959
2100,65959
2120,65959
2140,65959
2160,66220
2180,66220
2200,66220
2220,66220
2240,65959
2260,65959
2280,65959
2300,65959
2320,65959
2340,65959
2360,65959
2380,65959
2400,65959
2420,65959
2440,65959
2460,65959
2480,65959
2500,65959
2520,65892
2540,65892
2560,65892
2580,65892
2600,65959
2620,65959
2640,65959
2660,65959
2680,65959
2700,65959
2720,65959
2740,65959
2760,65959
2780,65959
2800,66287
2820,66287
2840,66287
2860,66287
2880,65959
2900,65959
2920,65959
2940,65959
2960,65959
2980,66287
3000,66287
3020,66287
3040,66287
3060,65959
3080,65959
3100,65959
3120,65959
3140,65959
3160,66287
3180,66287
3200,66287
3220,66287
3240,65959
3260,65959
3280,65959
3300,65959
3320,65959
3340,66287
3360,66287
3380,66287
3400,66287
3420,65959
3440,65959
3460,65959
3480,65959
3500,65959
3520,65959
3540,65959
3560,65959
3580,65959
3600,65892
3620,65892
3640,65892
3660,65892
3680,65892
3700,66220
3720,66220
3740,66220
3760,66220
3780,66220
3800,66220
3820,66220
3840,66220
3860,66220
3880,66287
3900,66287
3920,66287
3940,66287
3960,66287
3980,66287
4000,66287
4020,66287
4040,66287
4060,65959
4080,65959
4100,65959
4120,65959
4140,65959
4160,66220
4180,66220
4200,66220
4220,66220
4240,65959
4260,65959
4280,65959
4300,65959
4320,65959
4340,66287
4360,66287
4380,66287
4400,66287
4420,65959
4440,65959
4460,65959
4480,65959
4500,65959
4520,66287
4540,66287
4560,66287
4580,66287
4600,65959
4620,65959
4640,65959
4660,65959
4680,65959
4700,66287
4720,66287
4740,66287
4760,66287
4780,65892
4800,65892
4820,65892
4840,65892
4860,65892
4880,65959
4900,65959
4920,65959
4940,65959
4960,65959
4980,66287
5000,66287
5020,66287
5040,66287
5060,65959
5080,65959
5100,65959
5120,65959
5140,65959
5160,66287
5180,66287
5200,66287
5220,66287
5240,65959
5260,65959
5280,65959
5300,65959
5320,65959
5340,66561
5360,66561
5380,66561
5400,66561
5420,65959
5440,65959
5460,65959
5480,65959
5500,65959
5520,65892
5540,65892
5560,65892
5580,65892
5600,65959
5620,65959
5640,65959
5660,65959
5680,65959
5700,66287
5720,66287
5740,66287
5760,66287
5780,65959
5800,65959
5820,65959
5840,65959
5860,65959
5880,65892
5900,65892
5920,65892
5940,65892
5960,65892
5980,66220
6000,66220
6020,66220
6040,66220
6060,65959
6080,65959
6100,65959
6120,65959
6140,65959
6160,66220
6180,66220
6200,66220
6220,66220
6240,65959
