Time(ms),Power(mW)
0,65959
20,65959
40,65076
60,65076
80,65076
100,65076
120,64748
140,64748
160,64748
180,64748
200,64748
220,65009
240,65009
260,65009
280,65009
300,65076
320,65076
340,65076
360,65076
380,65076
400,65076
420,65076
440,65076
460,65076
480,65076
500,65350
520,65350
540,65350
560,65350
580,65076
600,65076
620,65076
640,65076
660,65076
680,65076
700,65076
720,65076
740,65076
760,65076
780,65076
800,65076
820,65076
840,65076
860,65076
880,65076
900,65076
920,65076
940,65076
960,65076
980,65076
1000,65076
1020,65076
1040,65076
1060,65076
1080,65076
1100,65076
1120,65076
1140,65076
1160,65076
1180,65076
1200,65076
1220,65076
1240,65076
1260,65076
1280,65076
1300,65076
1320,65076
1340,65076
1360,65076
1380,65076
1400,65076
1420,65076
1440,65076
1460,65076
1480,65076
1500,65350
1520,65350
1540,65350
1560,65350
1580,65076
1600,65076
1620,65076
1640,65076
1660,65076
1680,65350
1700,65350
1720,65350
1740,65350
1760,65076
1780,65076
1800,65076
1820,65076
1840,65076
1860,65076
1880,65076
1900,65076
1920,65076
1940,65076
1960,65076
1980,65076
2000,65076
2020,65076
2040,65076
2060,65076
2080,65076
2100,65076
2120,65076
2140,65076
2160,65076
2180,65076
2200,65076
2220,65076
2240,65076
2260,65076
2280,65076
2300,65076
2320,65076
2340,65076
2360,65076
2380,65076
2400,65076
2420,65076
2440,65076
2460,65076
2480,65076
2500,65076
2520,65076
2540,65076
2560,65076
2580,65076
2600,65076
2620,65076
2640,65076
2660,65076
2680,65076
2700,65076
2720,65076
2740,65076
2760,65076
2780,65076
2800,65076
2820,65076
2840,65076
2860,65076
2880,65076
2900,65076
2920,65076
2940,65350
2960,65350
2980,65350
3000,65350
3020,65350
3040,65076
3060,65076
3080,65076
3100,65076
3120,65076
3140,65076
3160,65076
3180,65076
3200,65076
3220,65076
3240,65076
3260,65076
3280,65076
3300,65076
3320,65350
3340,65350
3360,65350
3380,65350
3400,65076
3420,65076
3440,65076
3460,65076
3480,65076
3500,65350
3520,65350
3540,65350
3560,65350
3580,65076
3600,65076
3620,65076
3640,65076
3660,65076
3680,65076
3700,65076
3720,65076
3740,65076
3760,65076
3780,65076
3800,65076
3820,65076
3840,65076
3860,65076
3880,65076
3900,65076
3920,65076
3940,65076
3960,65076
3980,65076
4000,65076
4020,65076
4040,65076
4060,65076
4080,65076
4100,65076
4120,65686
4140,65686
4160,65686
4180,65686
4200,65686
4220,65076
4240,65076
4260,65076
4280,65076
4300,65076
4320,65350
4340,65350
4360,65350
4380,65350
4400,65076
4420,65076
4440,65076
4460,65076
4480,65076
4500,65350
4520,65350
4540,65350
4560,65350
4580,65076
4600,65076
4620,65076
4640,65076
4660,65076
4680,65076
4700,65076
4720,65076
4740,65076
4760,65076
4780,65076
4800,65076
4820,65076
4840,65076
4860,65076
4880,65076
4900,65076
4920,65076
4940,65076
4960,65076
4980,65076
5000,65076
5020,65076
5040,65076
5060,65076
5080,65076
5100,65076
5120,65076
5140,65283
5160,65283
5180,65283
5200,65283
5220,65076
5240,65076
5260,65076
5280,65076
5300,65076
5320,65350
5340,65350
5360,65350
5380,65350
5400,65076
5420,65076
5440,65076
5460,65076
5480,65076
5500,65350
5520,65350
5540,65350
5560,65350
5580,65076
5600,65076
5620,65076
5640,65076
5660,65076
5680,65076
5700,65076
5720,65076
5740,65076
5760,65076
5780,65076
5800,65076
5820,65076
5840,65076
5860,65076
5880,65076
5900,65076
5920,65076
5940,65076
5960,65076
5980,65076
6000,65076
6020,65076
6040,65009
6060,65009
6080,65009
6100,65009
6120,65009
6140,65350
6160,65350
6180,65350
6200,65350
6220,65076
6240,65076
6260,65076
6280,65076
6300,65076
6320,65350
6340,65350
6360,65350
6380,65350
6400,65076
6420,65076
6440,65076
6460,65076
6480,65076
6500,65009
6520,65009
6540,65009
6560,65009
6580,65076
6600,65076
6620,65076
6640,65076
6660,65076
6680,65350
6700,65350
6720,65350
6740,65350
6760,65076
6780,65076
6800,65076
6820,65076
6840,65076
6860,65076
6880,65076
6900,65076
6920,65076
6940,65076
6960,65076
6980,65076
7000,65076
7020,65076
7040,65076
7060,65076
7080,65076
7100,65076
7120,65076
7140,65283
7160,65283
7180,65283
7200,65283
7220,65076
7240,65076
7260,65076
7280,65076
7300,65076
7320,67171
7340,67171
7360,67171
7380,67171
7400,79704
7420,79704
7440,79704
7460,79704
7480,79704
7500,80669
7520,80669
7540,80669
7560,80669
7580,87891
7600,87891
7620,87891
7640,87891
7660,87891
7680,87801
7700,87801
7720,87801
7740,87801
7760,87801
7780,88164
7800,88164
7820,88164
7840,88164
7860,88074
7880,88074
7900,88074
7920,88074
7940,88074
7960,88074
7980,88074
8000,88074
8020,88074
8040,88074
8060,88074
8080,88074
8100,88074
8120,88074
8140,88074
8160,88074
8180,88074
8200,88074
