Time(ms),Power(mW)
0,59347
100,59347
200,59347
300,59347
400,59347
500,59347
600,59347
700,59347
800,59347
900,59347
1000,59347
1100,59347
1200,59347
1300,59347
1400,59347
1500,59347
1600,59347
1700,59347
1800,59347
1900,59347
2000,59347
2100,59347
2200,59347
2300,59347
2400,59347
2500,59347
2600,59347
2700,59347
2800,59347
2900,59347
3000,59347
3100,59347
3200,59347
3300,59675
3400,59675
3500,59675
3600,59675
3700,59675
3800,59675
3900,59675
4000,59675
4100,59675
4200,59675
4300,59675
4400,59675
4500,59675
4600,59675
4700,59675
4800,59675
4900,59675
5000,59675
5100,59675
5200,59675
5300,59675
5400,59675
5500,59675
5600,59675
5700,59675
5800,59675
5900,59675
6000,59675
6100,59675
6200,59675
6300,59675
6400,59675
6500,59675
6600,59675
6700,59675
6800,59675
6900,59675
7000,59675
7100,59675
7200,62653
7300,62653
7400,62653
7500,62653
7600,62653
7700,62653
7800,62653
7900,62653
8000,62653
8100,62653
8200,62653
8300,62653
8400,62653
8500,62653
8600,62653
8700,62653
8800,62653
8900,62653
9000,62653
9100,62653
9200,62653
9300,62653
9400,62653
9500,62653
9600,62653
9700,62653
9800,62653
9900,62653
10000,62653
10100,62653
10200,62653
10300,62653
10400,62653
10500,62653
10600,62653
10700,62653
10800,62653
10900,62653
11000,62653
11100,62653
11200,62653
11300,62653
11400,62653
11500,62653
11600,62653
11700,62653
11800,62653
11900,62653
12000,62653
12100,62653
12200,62653
12300,62653
12400,62653
12500,62653
12600,62653
12700,62653
12800,62653
12900,62653
13000,62653
13100,62653
13200,62653
13300,62653
13400,62653
13500,62653
13600,62653
13700,62653
13800,62653
13900,62653
14000,62653
14100,62653
14200,62653
14300,62653
14400,62653
14500,62653
14600,62653
14700,62653
14800,62653
14900,62653
15000,62653
15100,62653
15200,62653
15300,62653
15400,62653
15500,62653
15600,71087
15700,71087
15800,71087
15900,71087
16000,71087
16100,71087
16200,71087
16300,71087
16400,71087
16500,71087
16600,71087
16700,71087
16800,71087
16900,71087
17000,71087
17100,71087
17200,71087
17300,71087
17400,71087
17500,71087
17600,71087
17700,71087
17800,71087
17900,71087
18000,71087
18100,71087
18200,71087
18300,71087
18400,71087
18500,71087
18600,71087
18700,71087
18800,71087
18900,71087
19000,71087
19100,71087
19200,71087
19300,71087
19400,71087
19500,71087
19600,71087
19700,71087
19800,71087
19900,71087
20000,71087
20100,71087
20200,71087
20300,71688
20400,71688
20500,71688
20600,71688
20700,71688
20800,71688
20900,71688
21000,71688
21100,71688
21200,71688
21300,71688
21400,71688
21500,71688
21600,71688
21700,71688
21800,71688
21900,71688
22000,71688
22100,71688
22200,71688
22300,71688
22400,71688
22500,71688
22600,71688
22700,71688
22800,71688
22900,71688
23000,71688
23100,71688
23200,71688
23300,71688
23400,71688
23500,71688
23600,71688
23700,71688
23800,71688
23900,71688
24000,71688
24100,71688
24200,71688
24300,71688
24400,71688
24500,71688
24600,71688
24700,71688
24800,87801
24900,87801
25000,87801
25100,87801
25200,87801
25300,87801
25400,87801
25500,87801
25600,87801
25700,87801
25800,87801
25900,87801
26000,87801
26100,87801
26200,87801
26300,87801
26400,87801
26500,87801
26600,87801
26700,87801
26800,87801
26900,87801
27000,87801
27100,87801
27200,87801
27300,87801
27400,87801
27500,87801
27600,87801
27700,87801
27800,87801
27900,87801
28000,87801
28100,87801
28200,87801
28300,87801
28400,87801
28500,87801
28600,87801
28700,87801
28800,87801
28900,87801
29000,87801
29100,87801
29200,87801
29300,87801
29400,87801
29500,87801
29600,87801
29700,89558
29800,89558
29900,89558
30000,89558
30100,89558
30200,89558
30300,89558
30400,89558
30500,89558
30600,89558
30700,89558
30800,89558
30900,89558
31000,89558
31100,89558
31200,89558
31300,89558
31400,89558
31500,89558
31600,89558
31700,89558
31800,89558
31900,89558
32000,89558
32100,89558
32200,89558
32300,89558
32400,89558
32500,89558
32600,89558
32700,89558
32800,89558
32900,89558
33000,89558
33100,89558
33200,89558
33300,89558
33400,89558
33500,89558
33600,89558
33700,89558
33800,89558
33900,89558
34000,89558
34100,89558
34200,89558
34300,89558
34400,89558
34500,89558
34600,89650
34700,89650
34800,89650
34900,89650
35000,89650
35100,89650
35200,89650
35300,89650
35400,89650
35500,89650
35600,89650
