Time(ms),Power(mW)
0,64748
20,64748
40,64748
60,65076
80,65076
100,65076
120,65076
140,64681
160,64681
180,64681
200,64681
220,64681
240,65076
260,65076
280,65076
300,65076
320,64748
340,64748
360,64748
380,64748
400,64748
420,65076
440,65076
460,65076
480,65076
500,64748
520,64748
540,64748
560,64748
580,64748
600,65076
620,65076
640,65076
660,65076
680,65076
700,65076
720,65076
740,65076
760,65076
780,65076
800,65076
820,65076
840,65076
860,65076
880,65076
900,65076
920,65076
940,65076
960,64748
980,64748
1000,64748
1020,64748
1040,64748
1060,65076
1080,65076
1100,65076
1120,65076
1140,64748
1160,64748
1180,64748
1200,64748
1220,64748
1240,65076
1260,65076
1280,65076
1300,65076
1320,65076
1340,65076
1360,65076
1380,65076
1400,65076
1420,65076
1440,65076
1460,65076
1480,65076
1500,64748
1520,64748
1540,64748
1560,64748
1580,64748
1600,65076
1620,65076
1640,65076
1660,65076
1680,65076
1700,65076
1720,65076
1740,65076
1760,65076
1780,65076
1800,65076
1820,65076
1840,65076
1860,65076
1880,65076
1900,65076
1920,65076
1940,65076
1960,65076
1980,65076
2000,65076
2020,65076
2040,65076
2060,65009
2080,65009
2100,65009
2120,65009
2140,64681
2160,64681
2180,64681
2200,64681
2220,64681
2240,65076
2260,65076
2280,65076
2300,65076
2320,64748
2340,64748
2360,64748
2380,64748
2400,64748
2420,65076
2440,65076
2460,65076
2480,65076
2500,65076
2520,65076
2540,65076
2560,65076
2580,65076
2600,65076
2620,65076
2640,65076
2660,65076
2680,65076
2700,65076
2720,65076
2740,65076
2760,65076
2780,65076
2800,65076
2820,65076
2840,65076
2860,65076
2880,65076
2900,65076
2920,65076
2940,65076
2960,65009
2980,65009
3000,65009
3020,65009
3040,65009
3060,65076
3080,65076
3100,65076
3120,65076
3140,65076
3160,65076
3180,65076
3200,65076
3220,65076
3240,65076
3260,65076
3280,65076
3300,65076
3320,65076
3340,65076
3360,65076
3380,65076
3400,65076
3420,65076
3440,65076
3460,65076
3480,65076
3500,65076
3520,65076
3540,65076
3560,65076
3580,65076
3600,65076
3620,65076
3640,65076
3660,65076
3680,65076
3700,65076
3720,65076
3740,65076
3760,65076
3780,65076
3800,65076
3820,65076
3840,65076
3860,65076
3880,65350
3900,65350
3920,65350
3940,65350
3960,65076
3980,65076
4000,65076
4020,65076
4040,65076
4060,65076
4080,65076
4100,65076
4120,65076
4140,64748
4160,64748
4180,64748
4200,64748
4220,64748
4240,65959
4260,65959
4280,65959
4300,65959
4320,65076
4340,65076
4360,65076
4380,65076
4400,65076
4420,65009
4440,65009
4460,65009
4480,65009
4500,65009
4520,65009
4540,65009
4560,65009
4580,65009
4600,65009
4620,65009
4640,65009
4660,65009
4680,65009
4700,65076
4720,65076
4740,65076
4760,65076
4780,65076
4800,65076
4820,65076
4840,65076
4860,65076
4880,65009
4900,65009
4920,65009
4940,65009
4960,65076
4980,65076
5000,65076
5020,65076
5040,65076
5060,65076
5080,65076
5100,65076
5120,65076
5140,65076
5160,65076
5180,65076
5200,65076
5220,65076
5240,65076
5260,65076
5280,65076
5300,65076
5320,64748
5340,64748
5360,64748
5380,64748
5400,64748
5420,65076
5440,65076
5460,65076
5480,65076
5500,65076
5520,65350
5540,65350
5560,65350
5580,65350
5600,65076
5620,65076
5640,65076
5660,65076
5680,65076
5700,65350
5720,65350
5740,65350
5760,65350
5780,65076
5800,65076
5820,65076
5840,65076
5860,65076
5880,65076
5900,65076
5920,65076
5940,65076
5960,64748
5980,64748
6000,64748
6020,64748
6040,64748
6060,65076
6080,65076
6100,65076
6120,65076
6140,65076
6160,65076
6180,65076
6200,65076
6220,65076
6240,65076
6260,65076
6280,65076
6300,65076
6320,65076
6340,65076
6360,65076
6380,65076
6400,65076
6420,65076
6440,65076
6460,65076
6480,65076
6500,65009
6520,65009
6540,65009
6560,65009
6580,65009
6600,65076
6620,65076
6640,65076
6660,65076
6680,65076
6700,65076
6720,65076
6740,65076
6760,65076
6780,65076
6800,65076
6820,65076
6840,65076
6860,65076
6880,65350
6900,65350
6920,65350
6940,65350
6960,65076
6980,65076
7000,65076
7020,65076
7040,65076
7060,65350
7080,65350
7100,65350
7120,65350
7140,65076
7160,65076
7180,65076
7200,65076
7220,65076
7240,65076
7260,65076
7280,65076
7300,65076
7320,70405
7340,70405
7360,70405
7380,70405
7400,70405
7420,70477
7440,70477
7460,70477
7480,70477
7500,94777
7520,94777
7540,94777
7560,94777
7580,94777
7600,94953
7620,94953
7640,94953
7660,94953
7680,94449
7700,94449
