Time(ms),Power(mW)
0,65959
20,65959
40,65959
60,65959
80,65959
100,65076
120,65076
140,65076
160,65076
180,65076
200,65350
220,65350
240,65350
260,65350
280,65350
300,65350
320,65350
340,65350
360,65350
380,65350
400,65350
420,65350
440,65350
460,65076
480,65076
500,65076
520,65076
540,65076
560,65350
580,65350
600,65350
620,65350
640,65076
660,65076
680,65076
700,65076
720,65076
740,65350
760,65350
780,65350
800,65350
820,65350
840,65350
860,65350
880,65350
900,65350
920,65686
940,65686
960,65686
980,65686
1000,65076
1020,65076
1040,65076
1060,65076
1080,65076
1100,65350
1120,65350
1140,65350
1160,65350
1180,65350
1200,65350
1220,65350
1240,65350
1260,65350
1280,65283
1300,65283
1320,65283
1340,65283
1360,65283
1380,65350
1400,65350
1420,65350
1440,65350
1460,65350
1480,65350
1500,65350
1520,65350
1540,65350
1560,65686
1580,65686
1600,65686
1620,65686
1640,66220
1660,66220
1680,66220
1700,66220
1720,66220
1740,65350
1760,65350
1780,65350
1800,65350
1820,65350
1840,65350
1860,65350
1880,65350
1900,65350
1920,65350
1940,65350
1960,65350
1980,65350
2000,65350
2020,65350
2040,65350
2060,65350
2080,65350
2100,65350
2120,65350
2140,65350
2160,65350
2180,65350
2200,65686
2220,65686
2240,65686
2260,65686
2280,65350
2300,65350
2320,65350
2340,65350
2360,65350
2380,65350
2400,65350
2420,65350
2440,65350
2460,65350
2480,65350
2500,65350
2520,65350
2540,65350
2560,65283
2580,65283
2600,65283
2620,65283
2640,65076
2660,65076
2680,65076
2700,65076
2720,65076
2740,65686
2760,65686
2780,65686
2800,65686
2820,65283
2840,65283
2860,65283
2880,65283
2900,65283
2920,65350
2940,65350
2960,65350
2980,65350
3000,65350
3020,65350
3040,65350
3060,65350
3080,65350
3100,65350
3120,65350
3140,65350
3160,65350
3180,65350
3200,65350
3220,65350
3240,65350
3260,65350
3280,65350
3300,65350
3320,65350
3340,65350
3360,65350
3380,65686
3400,65686
3420,65686
3440,65686
3460,65350
3480,65350
3500,65350
3520,65350
3540,65350
3560,65686
3580,65686
3600,65686
3620,65686
3640,65350
3660,65350
3680,65350
3700,65350
3720,65350
3740,65350
3760,65350
3780,65350
3800,65350
3820,65283
3840,65283
3860,65283
3880,65283
3900,65283
3920,65283
3940,65283
3960,65283
3980,65283
4000,65283
4020,65618
4040,65618
4060,65618
4080,65618
4100,65350
4120,65350
4140,65350
4160,65350
4180,65350
4200,65686
4220,65686
4240,65686
4260,65686
4280,65350
4300,65350
4320,65350
4340,65350
4360,65350
4380,65350
4400,65350
4420,65350
4440,65350
4460,65350
4480,65350
4500,65350
4520,65350
4540,65350
4560,65686
4580,65686
4600,65686
4620,65686
4640,65350
4660,65350
4680,65350
4700,65350
4720,65350
4740,65350
4760,65350
4780,65350
4800,65350
4820,65350
4840,65350
4860,65350
4880,65350
4900,65350
4920,65350
4940,65350
4960,65350
4980,65350
5000,65350
5020,65350
5040,65350
5060,65350
5080,65350
5100,65350
5120,65350
5140,65350
5160,65350
5180,65350
5200,65686
5220,65686
5240,65686
5260,65686
5280,65350
5300,65350
5320,65350
5340,65350
5360,65350
5380,65686
5400,65686
5420,65686
5440,65686
5460,65350
5480,65350
5500,65350
5520,65350
5540,65350
5560,65350
5580,65350
5600,65350
5620,65350
5640,65350
5660,65350
5680,65350
5700,65350
5720,65350
5740,65350
5760,65350
5780,65350
5800,65350
5820,65283
5840,65283
5860,65283
5880,65283
5900,65283
5920,65283
5940,65283
5960,65283
5980,65283
6000,65350
6020,65350
6040,65350
6060,65350
6080,65350
6100,65350
6120,65350
6140,65350
6160,65350
6180,65350
6200,66287
6220,66287
6240,66287
6260,66287
6280,65283
6300,65283
6320,65283
6340,65283
6360,65283
6380,65350
6400,65350
6420,65350
6440,65350
6460,65283
6480,65283
6500,65283
6520,65283
6540,65283
6560,65959
6580,65959
6600,65959
6620,65959
6640,65350
6660,65350
6680,65350
6700,65350
6720,65350
6740,65350
6760,65350
6780,65350
6800,65350
6820,65350
6840,65350
6860,65350
6880,65350
6900,65350
6920,65350
6940,65350
6960,65350
6980,65350
7000,65350
7020,65350
7040,65350
7060,65350
7080,65350
7100,65350
7120,65350
7140,65350
7160,65350
7180,65350
7200,65686
7220,65686
7240,65686
7260,65686
7280,67444
7300,67444
7320,67444
7340,67444
7360,67444
7380,67711
7400,67711
7420,67711
7440,67711
7460,78574
7480,78574
7500,78574
7520,78574
7540,78574
7560,88774
7580,88774
7600,88774
7620,88774
7640,88774
7660,88774
7680,88774
7700,88774
7720,88774
7740,88774
7760,88774
7780,88774
7800,88774
7820,88774
7840,88774
7860,88774
7880,88774
7900,88774
7920,89048
7940,89048
7960,89048
7980,89048
8000,89048
8020,89048
8040,89048
8060,89048
8080,89048
8100,88957
8120,88957
8140,88957
8160,88957
8180,88957
8200,88957
