Time(ms),Power(mW)
0,59347
100,59347
200,59347
300,59347
400,59347
500,59347
600,59347
700,59347
800,59347
900,59347
1000,59347
1100,59347
1200,59347
1300,59347
1400,59347
1500,59347
1600,59347
1700,59347
1800,59347
1900,59347
2000,59347
2100,59347
2200,59347
2300,59347
2400,59347
2500,59347
2600,59347
2700,59286
2800,59347
2900,59347
3000,59347
3100,59347
3200,59347
3300,59347
3400,59347
3500,59347
3600,59347
3700,59347
3800,59347
3900,59347
4000,59347
4100,59347
4200,59347
4300,59347
4400,59347
4500,59347
4600,59347
4700,59347
4800,59347
4900,59347
5000,59347
5100,59347
5200,59347
5300,59347
5400,59347
5500,59347
5600,59347
5700,59347
5800,59347
5900,59286
6000,59347
6100,59347
6200,59347
6300,59347
6400,59347
6500,59286
6600,59347
6700,59347
6800,59347
6900,59347
7000,59347
7100,59347
7200,59347
7300,59347
7400,59347
7500,59347
7600,59347
7700,59347
7800,59347
7900,59347
8000,59347
8100,59675
8200,59347
8300,59347
8400,59347
8500,59347
8600,59347
8700,59347
8800,59347
8900,59347
9000,59347
9100,59347
9200,59347
9300,66561
9400,65076
9500,75549
9600,75549
9700,91377
9800,106072
9900,106072
10000,106180
10100,106072
10200,106462
10300,106462
10400,106681
10500,106462
10600,106353
10700,106681
10800,106353
10900,106790
11000,106790
11100,106681
11200,106790
11300,106681
11400,106681
11500,106681
11600,106681
11700,106954
11800,107064
11900,106790
12000,106681
12100,106790
12200,107064
12300,106954
12400,106954
12500,107947
12600,106954
12700,106954
12800,106954
12900,107064
13000,107064
13100,107064
13200,106954
13300,106954
13400,107064
13500,106954
13600,106954
13700,106954
13800,106954
13900,106954
14000,106954
14100,106954
14200,106954
14300,106954
14400,106954
14500,106954
14600,106954
14700,106954
14800,106954
14900,106954
15000,107227
15100,107227
15200,107337
15300,107227
15400,106954
15500,106954
15600,107337
15700,106954
15800,107227
15900,107227
16000,107227
16100,107064
16200,107227
16300,107227
16400,107337
16500,107227
16600,107227
16700,107227
16800,107227
16900,107337
17000,107227
17100,107227
17200,107227
17300,108164
17400,107227
17500,107337
17600,108275
17700,107337
17800,107227
17900,107337
18000,107337
18100,107337
18200,108275
18300,107227
18400,107227
18500,107227
18600,107227
18700,107337
18800,108164
18900,107563
19000,107337
19100,107227
19200,107673
19300,107227
19400,107337
19500,107227
19600,107227
19700,107337
19800,107337
19900,107227
20000,107227
20100,107227
20200,107227
20300,107227
20400,107227
20500,107227
20600,107227
20700,107227
20800,107227
20900,107337
21000,107227
21100,107227
21200,107227
21300,107227
21400,107563
21500,107673
21600,107227
21700,107227
21800,107337
21900,107227
22000,107227
22100,107563
22200,107563
22300,107227
22400,108275
22500,107563
22600,107337
22700,107563
22800,107673
22900,107227
23000,107673
23100,107227
23200,107227
23300,107227
23400,107563
23500,107563
23600,107563
23700,107563
23800,107227
23900,107563
24000,107563
24100,107673
24200,107563
24300,107563
24400,107227
24500,107563
24600,107563
24700,108556
24800,107673
24900,107563
25000,107563
25100,108445
25200,108556
25300,107563
25400,107563
25500,107563
25600,107563
25700,107563
25800,107227
25900,107563
26000,107563
26100,107563
26200,107563
26300,107563
26400,107563
26500,107563
26600,107563
26700,107563
26800,107563
26900,107563
27000,107563
27100,107673
27200,107563
27300,107673
27400,107673
27500,107563
27600,107563
27700,107563
27800,108445
27900,107563
28000,107563
28100,108556
28200,108885
28300,107836
28400,107673
28500,107563
28600,108445
28700,107563
28800,107563
28900,107563
29000,107563
29100,107563
29200,108445
29300,108885
29400,107836
29500,107563
29600,107563
29700,107563
29800,107563
29900,107563
30000,108556
30100,107563
30200,107673
30300,107563
30400,107673
30500,107673
30600,107563
30700,107563
30800,107563
30900,107673
31000,107563
31100,107836
31200,107563
31300,107563
31400,107673
31500,108445
31600,107836
31700,107563
31800,108773
31900,107836
32000,107563
32100,107563
32200,107563
32300,107673
32400,107563
32500,108885
32600,107836
32700,107563
32800,108885
32900,107836
33000,107563
33100,107836
33200,108885
33300,107947
33400,107563
33500,107563
33600,108556
33700,107836
33800,107947
33900,107947
34000,108773
34100,107836
34200,107563
34300,108773
34400,107947
34500,107836
34600,107836
34700,107563
34800,107563
34900,108773
35000,108885
35100,107836
35200,107563
35300,108885
35400,108773
35500,107836
35600,107563
