Time(ms),Power(mW)
0,59675
100,59675
200,59675
300,59675
400,59675
500,59675
600,59675
700,59675
800,59675
900,59675
1000,59675
1100,59675
1200,59675
1300,59675
1400,59675
1500,59675
1600,59614
1700,59675
1800,59675
1900,59675
2000,59347
2100,59675
2200,59675
2300,59614
2400,59675
2500,59675
2600,59675
2700,59675
2800,59614
2900,59675
3000,59614
3100,59675
3200,59675
3300,59675
3400,59675
3500,59675
3600,59675
3700,59675
3800,59675
3900,59675
4000,59347
4100,59675
4200,59347
4300,59675
4400,59614
4500,59675
4600,59675
4700,59614
4800,59347
4900,59675
5000,59347
5100,59675
5200,59675
5300,59347
5400,59675
5500,59675
5600,59347
5700,59675
5800,59675
5900,59675
6000,59675
6100,59675
6200,59675
6300,59675
6400,59675
6500,59675
6600,59675
6700,59614
6800,59675
6900,59347
7000,59675
7100,59675
7200,59675
7300,59675
7400,59675
7500,59675
7600,59614
7700,59675
7800,59675
7900,59675
8000,59675
8100,59949
8200,59675
8300,59675
8400,59675
8500,59675
8600,59675
8700,59675
8800,59614
8900,59675
9000,59675
9100,59675
9200,64138
9300,66561
9400,111253
9500,167333
9600,182754
9700,183363
9800,185784
9900,186385
10000,184573
10100,184573
10200,186802
10300,187075
10400,187075
10500,187548
10600,187548
10700,187876
10800,187876
10900,185784
11000,185456
11100,187876
11200,188149
11300,188149
11400,188477
11500,188477
11600,188477
11700,188477
11800,188477
11900,188477
12000,188758
12100,188758
12200,188758
12300,188758
12400,188758
12500,188758
12600,188758
12700,188758
12800,189086
12900,189086
13000,189086
13100,186666
13200,186475
13300,188758
13400,189086
13500,189086
13600,189086
13700,189086
13800,186994
13900,186475
14000,189086
14100,189360
14200,189360
14300,189360
14400,189360
14500,189360
14600,189360
14700,189360
14800,189360
14900,189633
15000,189633
15100,187267
15200,186994
15300,189360
15400,189439
15500,189633
15600,189633
15700,189633
15800,189633
15900,189633
16000,189633
16100,189633
16200,189633
16300,189969
16400,189969
16500,189969
16600,189969
16700,189969
16800,189969
16900,189969
17000,189969
17100,189969
17200,189969
17300,189969
17400,190242
17500,189969
17600,189969
17700,189969
17800,190242
17900,187684
18000,189633
18100,189969
18200,187876
18300,187356
18400,189633
18500,189969
18600,189969
18700,190242
18800,190242
18900,188149
19000,187356
19100,189969
19200,190242
19300,187957
19400,187876
19500,189969
19600,190242
19700,190242
19800,187957
19900,187876
20000,187876
20100,189969
20200,190242
20300,190242
20400,190242
20500,190570
20600,190570
20700,187957
20800,187876
20900,190242
21000,190570
21100,190570
21200,190570
21300,187957
21400,188149
21500,190242
21600,190570
21700,190570
21800,190570
21900,190570
22000,188284
22100,187957
22200,190242
22300,190570
22400,190570
22500,190570
22600,190570
