Time(ms),Power(mW)
0,66561
100,66561
200,66561
300,66561
400,66561
500,66561
600,66842
700,66287
800,66287
900,66220
1000,66287
1100,66287
1200,66287
1300,66220
1400,66287
1500,66287
1600,66287
1700,66287
1800,66287
1900,66220
2000,82406
2100,82679
2200,122258
2300,121321
2400,121321
2500,121656
2600,121656
2700,121656
2800,121656
2900,122055
3000,121930
3100,121930
3200,121930
3300,121930
3400,121930
3500,121930
3600,121930
3700,121930
3800,121930
3900,122258
4000,87801
4100,86591
4200,86591
4300,86591
4400,86343
4500,86255
4600,86343
4700,86255
4800,86343
4900,86343
5000,86255
5100,86070
5200,86343
5300,86343
5400,86343
5500,86255
5600,86255
5700,86343
5800,66561
