batch_size,mean,std,min,25%,50%,75%,max
1,133.12585884011278,8.770352483888601,66.28699999999999,131.97299999999998,134.813,137.507,143.839
2,135.8684027777778,9.197361601397427,65.35,133.322,137.233,140.809,145.93200000000002
4,146.3695268101761,9.372137193597677,65.618,145.596,147.688,150.39,156.547
8,145.96818833727343,8.833933900634431,65.686,144.533,147.688,149.50799999999998,155.17600000000002
16,147.54310212514758,9.772870484096112,65.686,143.839,149.234,153.412,158.20600000000002
32,154.78999579326924,11.559503140140011,65.618,154.63,156.995,159.416,165.967
64,152.48855714586404,10.335237665143305,65.892,151.327,153.412,156.386,164.81099999999998
128,154.19104110756126,19.50596465323006,65.686,154.63,160.017,167.78599999999997,176.75799999999998
256,187.67396214301527,22.119160115725336,65.959,182.481,194.15400000000002,200.75900000000001,217.82
512,241.12197362978284,18.772075929246146,65.892,239.15599999999998,243.329,248.42700000000002,267.914
1024,314.1863213125406,32.35756454122778,66.774,309.543,319.659,331.04,345.7
2048,369.2442512100677,37.001079159896285,66.774,356.13300000000004,377.07,389.91900000000004,416.56800000000004
