Time(ms),Power(mW)
0,66287
100,66561
200,66493
300,66561
400,66561
500,66287
600,66287
700,66287
800,66287
900,66287
1000,66287
1100,66287
1200,66220
1300,66287
1400,66220
1500,66287
1600,66287
1700,66287
1800,66220
1900,66220
2000,106954
2100,125233
2200,198736
2300,211880
2400,213416
2500,214024
2600,216336
2700,211823
2800,213416
2900,214297
3000,220514
3100,214244
3200,212752
3300,214297
3400,212752
3500,213033
3600,223215
3700,214845
3800,213361
3900,214845
4000,213361
4100,216055
4200,216336
4300,216055
4400,215727
4500,213635
4600,215454
4700,213635
4800,218429
4900,214517
5000,216055
5100,218429
5200,214244
5300,216055
5400,216388
5500,226613
5600,218429
5700,216610
5800,216055
5900,213908
6000,219639
6100,217211
6200,214244
6300,215454
6400,213908
6500,218757
6600,217211
6700,219303
6800,215454
6900,214244
7000,215727
7100,214244
7200,216336
7300,216937
7400,227167
7500,219030
7600,214845
7700,215727
7800,214244
7900,217211
8000,214845
8100,214517
8200,216055
8300,214517
8400,218533
8500,217211
8600,222105
8700,218533
8800,217546
8900,219303
9000,214845
9100,217546
9200,224152
9300,216115
9400,214517
9500,216610
9600,214845
9700,219912
9800,217820
9900,215126
10000,216336
10100,214845
10200,219079
10300,217820
10400,219303
10500,215454
10600,217211
10700,219303
10800,217820
10900,217324
11000,214845
11100,226518
11200,219303
11300,214625
11400,216610
11500,217546
11600,220514
11700,215727
11800,215727
11900,216336
12000,214845
12100,216937
12200,214845
12300,219414
12400,216055
12500,214845
12600,216336
12700,214845
12800,216715
12900,215126
13000,223922
13100,219303
13200,217820
13300,216715
13400,214845
13500,217820
13600,215454
13700,216336
13800,216937
13900,215126
14000,216610
14100,215126
14200,219079
14300,216055
14400,215126
14500,216937
14600,215126
14700,219414
14800,218148
14900,223587
15000,216937
15100,215126
15200,216715
15300,215454
15400,220240
15500,218205
15600,220514
15700,216937
15800,216937
15900,215454
16000,218806
16100,215727
16200,215126
16300,216937
16400,214906
16500,216988
16600,215454
16700,222105
16800,216937
16900,215126
17000,216937
17100,217597
17200,220623
17300,216336
17400,222333
17500,219303
17600,218148
17700,220015
17800,218429
17900,219639
18000,216115
18100,217820
18200,219912
18300,215727
18400,217546
18500,215727
18600,222333
18700,219639
18800,218429
18900,219912
19000,215727
19100,217820
19200,217924
19300,227167
19400,217546
19500,215233
19600,197855
19700,198128
19800,100348
19900,90167
20000,88774
20100,88164
20200,88074
20300,87801
20400,87563
20500,87473
20600,87192
20700,87192
20800,87192
20900,86864
21000,86953
21100,86864
21200,86953
21300,86591
21400,86679
21500,86591
21600,86591
