Time(ms),Power(mW)
0,66842
100,65009
200,65076
300,65076
400,65350
500,65076
600,65009
700,65076
800,65076
900,65076
1000,65076
1100,65076
1200,65076
1300,65009
1400,65076
1500,65076
1600,65009
1700,65076
1800,65076
1900,65009
2000,65076
2100,68054
2200,80669
2300,89650
2400,89986
2500,89986
2600,89986
2700,89986
2800,89894
2900,89894
3000,83647
3100,83647
3200,83288
3300,83373
3400,83373
3500,83373
3600,83288
3700,83561
3800,83647
3900,83373
4000,83373
4100,83647
4200,83647
4300,83561
4400,83288
4500,83647
4600,83288
4700,72845
4800,64748
