Time(ms),Power(mW)
0,67780
100,67444
200,67444
300,67444
400,67375
500,67375
600,67375
700,67102
800,67102
900,67102
1000,67171
1100,67375
1200,67102
1300,67171
1400,67102
1500,67711
1600,67102
1700,67102
1800,66774
1900,66842
2000,81797
2100,125986
2200,212040
2300,212815
2400,213416
2500,213416
2600,212534
2700,213033
2800,213033
2900,213143
3000,217211
3100,215727
3200,215727
3300,215834
3400,215834
3500,214297
3600,216715
3700,214625
3800,214297
3900,214517
4000,216115
4100,216115
4200,216336
4300,216336
4400,215834
4500,214625
4600,214845
4700,214625
4800,214625
4900,217597
5000,216115
5100,216610
5200,216610
5300,216388
5400,214625
5500,214845
5600,214625
5700,214845
5800,216715
5900,216715
6000,216715
6100,216715
6200,216388
6300,215233
6400,215233
6500,215126
6600,215454
6700,218533
6800,216937
6900,216937
7000,216715
7100,216937
7200,215454
7300,215233
7400,215454
7500,215454
7600,215233
7700,216715
7800,216715
7900,216937
8000,216715
8100,216388
8200,215126
8300,215454
8400,215233
8500,215126
8600,218757
8700,217211
8800,216988
8900,217211
9000,217211
9100,215506
9200,215506
9300,215454
9400,215233
9500,215727
9600,216988
9700,217211
9800,217211
9900,217211
10000,216715
10100,215506
10200,215727
10300,215727
10400,215454
10500,219030
10600,217211
10700,217211
10800,216988
10900,219687
11000,218429
11100,218205
11200,218205
11300,218205
11400,218205
11500,220514
11600,220288
11700,220288
11800,220288
11900,220240
12000,218533
12100,218757
12200,218533
12300,218806
12400,222105
12500,220514
12600,220288
12700,220288
12800,218806
12900,218806
13000,219030
13100,219030
13200,218757
13300,220288
13400,220015
13500,220240
13600,220288
13700,219912
13800,218757
13900,218757
14000,218533
14100,218757
14200,222333
14300,220849
14400,220623
14500,220623
14600,220623
14700,218806
14800,218806
14900,218806
15000,219030
15100,218533
15200,220849
15300,220849
15400,220623
15500,220623
15600,220288
15700,219030
15800,218806
15900,218806
16000,218806
16100,222606
16200,220514
16300,220514
16400,220288
16500,220288
16600,218533
16700,218533
16800,218757
16900,218757
17000,218757
17100,220849
17200,220623
17300,220623
17400,220623
17500,220849
17600,218806
17700,218806
17800,219030
17900,218806
18000,222942
18100,220623
18200,220623
18300,220623
18400,220623
18500,219303
18600,219079
18700,218806
18800,218806
18900,218806
19000,220623
19100,220514
19200,220623
19300,220288
19400,218806
19500,218806
19600,218757
19700,219030
19800,222942
19900,220623
20000,220623
20100,220896
20200,220623
20300,219079
20400,218806
20500,219030
20600,218806
20700,218806
20800,220896
20900,220849
21000,220849
21100,220896
21200,220623
21300,219079
21400,219079
21500,219079
21600,219079
21700,222986
21800,220849
21900,220288
22000,220849
22100,220623
22200,219030
22300,218806
22400,218806
22500,219030
22600,218806
22700,221123
22800,220623
22900,220896
23000,220896
23100,220623
23200,219079
23300,219303
23400,219303
23500,219079
23600,222986
23700,220896
23800,220896
23900,221123
24000,221123
24100,219639
24200,219079
24300,219079
24400,219303
24500,219303
24600,220849
24700,220849
24800,220849
24900,220623
25000,219079
25100,219030
25200,218806
25300,219030
25400,222986
25500,221123
25600,221123
25700,221123
25800,221123
25900,219079
26000,219079
26100,219303
26200,219079
26300,219079
26400,220896
26500,221123
26600,221123
26700,221123
26800,220896
26900,219079
27000,219079
27100,219079
27200,219303
27300,222986
27400,220623
27500,220849
27600,220849
27700,220623
27800,219303
27900,219079
28000,219030
28100,218806
28200,218806
28300,220896
28400,220896
28500,221123
28600,220896
28700,221123
28800,219303
28900,219079
29000,219079
29100,219079
29200,222986
29300,220896
29400,221123
29500,220896
29600,221123
29700,219414
29800,219079
29900,219079
30000,219303
30100,219079
30200,220896
30300,221123
30400,220896
30500,220849
30600,219303
30700,218806
30800,219030
30900,219030
31000,223314
31100,220896
31200,220896
31300,220896
31400,220896
31500,219414
31600,219079
31700,219414
31800,219079
31900,219079
32000,221224
32100,221123
32200,220896
32300,220896
32400,220896
32500,219079
32600,219079
32700,219303
32800,219079
32900,223816
33000,220849
33100,220623
33200,220849
33300,220623
33400,219303
33500,219303
33600,219079
33700,219079
33800,219079
33900,221450
34000,220896
34100,220896
34200,221123
34300,220896
34400,219639
34500,219079
34600,219414
34700,219079
34800,223587
34900,220896
35000,220896
35100,221123
35200,221123
35300,219639
35400,219079
35500,219303
35600,219303
35700,219303
35800,221123
35900,221123
36000,221123
36100,220623
36200,221123
36300,219079
36400,219303
36500,219303
36600,219303
36700,224425
36800,220896
36900,221224
37000,220896
37100,221224
37200,219639
37300,219414
37400,219414
37500,219414
37600,221450
37700,221224
37800,221123
37900,220896
38000,221123
38100,219639
38200,219639
38300,219079
38400,219079
38500,223587
38600,220896
38700,220896
38800,220896
38900,221123
39000,219639
39100,219079
39200,219079
39300,219303
39400,219303
39500,221450
39600,220896
39700,221450
39800,221224
39900,221450
40000,219414
40100,219639
40200,219639
40300,219414
40400,224152
40500,221450
40600,221450
40700,221450
40800,220896
40900,219639
41000,219414
41100,219414
41200,219303
41300,219639
41400,221123
41500,220896
41600,220896
41700,220896
41800,220896
41900,219303
42000,219303
42100,219303
42200,219079
42300,224152
42400,221224
42500,221224
42600,221450
42700,220896
42800,219639
42900,219639
43000,219639
43100,219414
43200,219639
43300,221224
43400,221450
43500,221450
43600,221450
43700,221224
43800,219414
43900,219639
44000,219639
44100,219639
44200,223922
44300,220896
44400,221123
44500,220896
44600,219414
44700,219303
44800,219079
44900,219079
45000,219079
45100,221224
45200,221224
45300,221224
45400,221224
45500,221224
45600,219414
45700,219639
45800,219639
45900,219639
46000,224195
46100,221450
46200,221450
46300,221450
46400,221450
46500,219687
46600,219414
46700,219639
46800,219639
46900,219414
47000,221123
47100,220896
47200,220896
47300,220896
47400,221123
47500,219303
47600,219079
47700,219639
47800,219079
47900,224468
48000,221224
48100,221450
48200,221224
48300,221224
48400,219639
48500,219414
48600,219414
48700,219414
48800,219414
48900,221224
49000,221450
49100,221224
49200,221224
49300,221450
49400,219414
49500,219414
49600,219639
49700,219414
49800,224804
49900,221123
50000,220896
50100,221123
50200,220896
50300,219414
50400,219414
50500,219639
50600,219414
50700,219303
50800,221450
50900,221224
51000,221224
51100,221224
51200,219414
51300,219414
51400,219639
51500,219414
51600,225404
51700,221224
51800,221224
51900,221224
52000,221450
52100,219687
52200,219414
52300,219639
52400,219639
52500,219414
52600,221450
52700,220896
52800,221123
52900,220896
53000,220896
53100,219414
53200,219303
53300,219303
53400,219414
53500,225077
53600,221450
53700,221224
53800,221224
53900,221224
54000,219912
54100,219414
54200,219414
54300,219414
54400,219414
54500,221450
54600,221450
54700,221224
54800,221450
54900,221224
55000,219912
55100,219639
55200,219414
55300,219414
55400,225404
55500,220896
55600,220896
55700,221123
55800,220896
55900,219414
56000,219414
56100,219414
56200,219414
56300,219414
56400,221504
56500,221224
56600,221450
56700,221224
56800,221224
56900,219639
57000,219414
57100,219414
57200,219414
57300,225677
57400,221450
57500,221224
57600,221224
57700,219687
57800,219414
57900,219414
58000,219912
58100,219639
58200,221224
58300,221123
58400,221224
58500,221450
58600,220896
58700,219414
58800,219639
58900,219639
59000,219639
59100,225677
59200,221224
59300,221224
59400,221224
59500,221450
59600,219687
59700,219414
59800,219414
59900,219639
60000,219414
60100,221450
60200,221224
60300,221224
60400,221504
60500,221450
60600,219687
60700,219687
60800,219639
60900,219639
61000,225677
61100,220896
61200,221224
61300,221450
61400,221450
61500,219414
61600,219639
61700,219414
61800,219639
61900,219639
62000,221224
62100,221450
62200,221224
62300,221504
62400,221450
62500,219687
62600,219414
62700,219912
62800,219639
62900,226013
63000,221732
63100,221504
63200,221450
63300,221732
63400,219687
63500,219912
63600,219687
63700,219639
63800,219912
63900,221450
64000,221224
64100,221224
64200,221224
64300,221450
64400,219639
64500,219414
64600,219414
64700,226286
64800,221450
64900,221224
65000,221224
65100,221224
65200,219912
65300,219687
65400,219912
65500,219912
65600,219687
65700,221504
65800,221732
65900,221224
66000,221224
66100,221224
66200,219687
66300,219912
66400,219687
66500,219912
66600,226286
66700,221450
66800,221224
66900,221224
67000,221450
67100,219687
67200,219414
67300,219414
67400,219414
67500,219639
67600,221732
67700,221504
67800,221224
67900,221504
68000,221224
68100,219687
68200,219687
68300,219687
68400,219687
68500,226286
68600,221504
68700,221504
68800,221504
68900,221224
69000,219912
69100,219912
69200,219912
69300,219687
69400,219687
69500,221450
69600,221224
69700,221224
69800,221224
69900,221123
70000,219414
70100,219414
70200,219414
70300,219639
70400,226613
70500,221504
70600,221504
70700,221504
70800,221450
70900,219687
71000,219687
71100,219687
71200,219687
71300,219912
71400,221224
71500,221224
71600,221224
71700,221224
71800,219414
71900,219414
72000,219639
72100,219639
72200,215727
72300,201970
72400,201970
72500,201970
72600,201634
72700,200150
72800,199945
72900,199945
73000,200150
73100,199672
73200,92861
73300,90776
73400,90167
73500,89894
73600,88957
73700,88683
73800,88348
73900,88348
74000,88164
74100,88074
74200,88074
74300,87801
74400,87801
74500,87801
74600,87563
74700,87473
74800,87473
74900,87473
75000,80669
