time,GPU0,GPU1,GPU2,GPU3,GPU4,GPU5,GPU6,GPU7
1.1222437024116516e-06,148.593,272.409,207.365,317.987,88.074,115.442,119.686,130.633
1.0000017564743757,89.558,96.065,91.744,90.629,120.843,75.549,87.652,77.485
2.0000023003667593,94.953,65.551,73.455,70.225,67.582,82.49,66.355,63.125
3.000002956017852,69.796,68.515,70.75,75.048,64.54,61.496,65.416,61.043
4.000003552995622,68.312,68.515,81.552,84.075,67.919,62.043,67.239,61.043
5.0000074822455645,68.054,62.589,86.07,67.185,64.54,66.842,72.317,61.643
6.000008010305464,67.984,68.515,69.539,72.943,64.204,71.433,72.317,65.216
7.000008474104106,69.468,68.921,76.761,68.732,64.54,61.231,66.697,64.072
8.000009295530617,67.78,64.943,79.376,67.116,94.545,192.532,65.416,87.621
9.00001027714461,67.444,62.252,68.992,83.989,66.911,59.675,69.61,66.706
10.000011030584574,68.312,61.916,76.48,97.88,66.697,81.279,66.027,66.706
11.000011643394828,67.375,63.125,68.992,65.684,70.22,59.675,71.159,98.491
12.000012317672372,67.102,100.581,69.265,76.871,71.762,59.134,70.823,63.461
13.000013053417206,69.796,64.342,74.666,76.793,67.919,59.134,67.85,69.724
14.000013759359717,74.057,62.852,74.393,65.342,73.248,59.736,71.159,65.824
15.00001691095531,73.981,68.515,69.867,72.055,73.53,63.93,71.159,64.943
16.00001742783934,71.36,67.915,75.878,72.055,67.239,64.204,113.957,74.513
17.000017877668142,79.376,63.526,75.878,67.446,63.656,64.474,70.823,67.375
18.00034920591861,67.375,61.643,69.265,71.113,67.239,60.01,76.229,61.916
19.00034967623651,70.077,61.643,74.94,71.04,71.159,65.076,65.416,74.59
20.000350138172507,198.94,61.916,74.666,65.013,70.895,65.076,76.84,67.033
21.000350700691342,73.981,66.22,70.477,71.725,74.132,60.949,74.743,61.707
22.00061757210642,69.539,67.306,69.867,71.652,65.82,64.138,202.778,60.434
23.00061844289303,74.317,64.007,75.268,66.559,63.32,64.54,69.939,60.496
24.00061913859099,73.981,67.642,77.644,64.466,63.721,60.01,66.629,63.734
25.000620055012405,68.992,67.306,121.781,68.127,69.61,64.138,73.53,71.014
26.000622481107712,66.493,63.799,74.94,66.297,70.01,72.646,69.062,64.943
27.000622869469225,66.561,64.615,69.539,64.466,65.753,59.736,67.582,72.696
28.00062344968319,69.265,64.681,69.539,64.191,63.32,64.814,71.159,66.425
29.000624049454927,73.38,62.917,67.78,72.613,69.407,65.076,75.955,107.726
30.000624558888376,73.098,62.589,81.469,71.378,64.814,79.457,66.355,103.88
31.000625060871243,68.312,61.433,69.265,70.508,63.32,64.54,74.469,67.306
32.00062565412372,74.057,63.734,67.85,65.079,66.027,64.204,69.61,71.214
33.000626197084785,73.708,62.852,67.444,70.765,64.204,62.443,82.848,61.916
34.000626931898296,68.312,67.102,71.087,81.365,68.522,65.143,71.433,60.161
35.00062753818929,73.455,67.711,67.78,65.684,68.124,64.814,112.853,60.762
36.000628074631095,73.38,63.19,67.444,76.463,63.93,61.833,121.171,61.707
37.00063084624708,68.656,61.433,70.477,66.765,73.53,64.814,72.391,60.161
38.00063132401556,66.287,61.37,67.444,66.297,88.529,72.036,84.671,67.306
39.000631793402135,65.959,63.734,67.444,71.45,79.265,61.77,66.094,64.072
40.000632433220744,67.102,67.915,69.539,71.113,65.753,70.549,64.204,60.223
41.000632784329355,65.959,67.711,67.444,65.409,74.743,60.01,64.204,60.223
42.00063329655677,65.959,62.917,67.171,64.191,64.204,60.347,67.239,62.589
43.00063381809741,67.711,63.125,69.265,64.191,69.939,66.911,68.124,60.223
44.00063428096473,65.892,61.37,69.265,68.127,72.317,61.496,67.85,60.161
45.0006347252056,65.959,66.706,68.992,149.387,63.93,64.54,65.143,61.043
46.00063513126224,69.265,62.525,68.992,64.191,74.132,64.814,69.939,65.551
47.00063567701727,65.959,62.316,74.393,78.042,74.132,61.559,69.939,65.618
48.00063623022288,65.892,62.252,74.393,65.684,64.814,65.076,66.355,65.551
49.000636857934296,71.962,65.551,69.867,71.652,70.01,151.146,64.204,60.434
50.0006375676021,67.171,61.105,67.171,66.297,69.61,59.736,63.93,93.374
51.000821160152555,66.842,61.105,67.171,93.674,67.513,64.474,66.629,92.165
52.00082158111036,68.585,62.917,68.382,71.113,70.22,66.027,64.204,65.618
53.000822031870484,67.444,61.105,69.867,71.04,78.132,59.736,63.93,65.216
54.00082257390022,68.585,61.105,69.539,65.955,64.204,70.22,65.753,63.461
55.00082303863019,65.959,64.342,67.444,64.466,73.859,71.433,69.61,65.618
56.00082353223115,66.22,65.824,73.783,63.851,80.752,61.231,74.132,65.551
57.00082584004849,72.497,65.824,73.455,65.617,78.052,67.78,95.484,61.916
58.00082627590746,72.572,62.525,68.992,66.022,63.046,69.265,71.087,64.615
59.00082682445645,66.774,61.105,74.393,63.916,62.717,64.814,70.22,64.408
60.00087049230933,73.173,61.105,74.057,63.916,64.814,64.54,65.416,63.734
61.000871387310326,76.761,62.525,70.477,68.127,62.717,60.285,83.122,60.223
62.000871856696904,65.892,61.043,67.171,64.804,63.656,58.852,73.53,59.826
63.00087230652571,73.708,67.984,67.171,64.804,63.93,58.852,63.93,61.105
64.00087270699441,73.783,62.852,69.539,64.466,62.717,61.231,71.159,62.316
65.00087328907102,67.375,61.043,203.662,70.765,65.416,64.474,74.469,65.551
66.00087387301028,74.863,61.105,73.455,70.765,64.204,64.54,64.204,61.98
67.00087431631982,74.863,62.589,74.393,66.297,68.726,59.949,193.469,70.333
68.00087506137788,66.22,67.033,68.054,69.62,76.558,66.629,63.93,69.124
69.00087549723685,73.173,66.774,73.455,69.345,64.54,64.814,66.911,68.242
70.00134709570557,72.771,64.681,73.455,64.466,62.717,86.679,65.143,70.606
71.00134781282395,68.312,62.589,68.054,70.765,62.443,63.046,70.22,83.203
72.0013484004885,73.098,67.033,67.239,70.765,63.656,58.852,72.317,61.105
73.00134886894375,72.771,72.696,67.171,80.395,69.336,59.134,64.54,64.408
74.00134943891317,67.375,61.916,66.842,63.916,75.955,59.736,63.995,67.033
75.00135004986078,73.098,69.796,68.992,66.902,63.93,58.852,66.355,67.102
76.00135061144829,72.771,69.796,68.382,66.834,62.443,65.143,64.814,61.707
77.00135127454996,67.171,63.526,68.054,63.916,65.82,59.736,63.93,65.618
78.0013518370688,65.959,61.105,69.265,66.022,76.84,58.852,69.939,65.283
79.00135244149715,65.686,61.105,67.171,65.684,72.646,58.852,117.263,61.707
80.00135296583176,67.78,62.589,66.842,72.613,130.285,61.77,87.652,65.009
81.00143081601709,73.173,67.711,68.382,67.514,66.355,68.382,69.336,64.943
82.00143139250576,72.771,67.033,67.171,65.617,62.717,63.32,69.336,63.19
83.00143194943666,68.921,64.408,66.842,70.765,62.507,63.046,65.416,60.223
84.0014324169606,72.572,61.916,74.666,70.436,64.204,69.539,172.042,59.826
85.00143295712769,72.169,61.043,82.162,64.738,78.936,60.347,70.292,61.043
86.0014336258173,67.984,61.043,66.911,70.225,98.183,62.443,65.143,59.826
87.00143415760249,68.585,62.917,68.656,78.371,63.93,67.78,63.656,59.887
88.00143468845636,68.585,61.37,87.281,65.013,76.84,59.134,63.656,63.526
89.001435181126,67.711,61.105,66.842,69.895,76.558,81.552,64.814,64.943
90.00143927522004,72.497,63.526,72.243,77.68,63.721,65.35,69.61,64.615
91.00158631894737,72.169,203.245,68.992,65.079,77.442,64.474,69.939,93.101
92.0015868730843,67.711,61.105,79.786,74.161,77.521,61.559,66.355,65.551
93.00245732720941,212.752,68.242,67.85,65.342,63.93,61.496,63.93,65.216
94.00245822966099,67.375,63.799,67.239,64.466,62.443,65.143,63.721,62.589
95.00245910696685,65.959,65.892,68.656,70.838,66.423,68.452,74.132,66.493
96.00245979521424,72.771,66.22,68.656,70.838,63.93,60.887,172.14,66.493
97.00246323924512,72.845,62.589,69.265,66.627,71.433,65.959,72.036,61.37
98.0024639191106,66.561,70.333,67.171,73.831,111.093,65.959,75.627,65.216
99.00246449001133,72.572,62.316,81.279,78.371,87.371,63.32,66.027,66.425
100.00246517639607,72.497,61.916,66.842,162.006,68.726,71.36,83.459,65.618
101.00246596802026,66.842,67.306,76.48,66.627,70.549,72.845,65.416,71.542
102.00246679130942,72.771,65.216,86.343,65.684,202.657,58.792,70.823,79.103
103.00246757641435,80.067,69.468,69.867,64.191,70.895,58.852,80.423,61.916
104.00246880110353,68.382,78.494,74.94,63.916,64.606,61.231,69.062,67.642
105.00246955640614,75.472,64.342,74.666,67.116,62.507,65.416,76.84,69.468
106.0024707345292,72.845,66.774,68.992,63.916,71.433,71.159,74.743,62.525
107.00247167143971,71.087,64.007,66.842,66.902,63.721,60.558,65.82,71.815
108.00247229915112,75.268,196.171,68.656,64.191,62.717,58.852,72.036,77.204
109.00247326865792,81.195,66.774,74.94,63.916,62.443,82.162,71.159,102.944
110.00271353684366,69.194,69.724,74.666,70.838,66.027,82.49,67.239,65.824
111.00271418690681,76.151,60.824,66.842,66.022,69.407,60.285,70.823,101.455
112.00271461810917,76.073,61.105,73.783,64.804,69.336,61.168,66.911,159.253
113.00271516945213,66.561,62.252,79.786,87.034,63.046,60.62,207.241,64.943
114.00271568167955,72.497,64.072,67.171,85.535,62.507,64.814,64.204,71.542
115.00271625444293,72.497,64.681,68.656,65.617,67.239,59.134,66.027,61.105
116.00271671731025,69.194,64.943,72.572,70.225,64.269,64.54,69.61,66.706
117.0027172723785,81.195,66.425,79.786,67.116,72.92,69.939,75.345,68.515
118.00271770823747,80.867,66.774,73.783,64.738,94.271,60.347,66.979,60.223
119.00271854456514,66.287,62.917,72.572,72.055,117.383,61.559,71.433,59.826
120.00271917227656,72.572,67.033,74.057,67.185,70.823,60.01,112.306,60.434
121.00379408150911,72.771,67.375,73.783,72.33,75.017,64.54,68.124,64.681
122.00379460025579,68.382,61.98,68.054,68.732,64.54,66.355,86.953,69.397
123.0037951990962,72.169,66.706,74.057,65.409,70.01,60.01,67.239,60.496
124.00379569921643,72.169,69.796,95.05,79.864,72.317,70.22,72.036,59.887
125.0037965606898,67.78,61.98,69.539,77.154,62.717,62.717,71.762,61.433
126.00379707105458,66.287,61.043,66.842,66.297,67.85,60.01,68.452,61.37
127.0037974845618,72.572,63.125,71.688,72.33,63.384,64.474,63.93,59.826
128.00379800703377,68.382,61.043,69.539,65.079,69.407,71.688,66.911,62.589
129.00379841122776,65.618,61.105,74.94,66.627,72.036,76.151,66.629,60.223
130.00379902496934,65.892,61.707,70.75,69.895,66.027,66.629,70.22,59.887
131.00379971042275,72.169,66.425,68.054,69.895,73.53,67.513,72.92,71.542
132.0038027614355,72.771,66.774,68.054,68.127,75.345,61.231,66.355,64.943
133.0038032978773,67.444,65.892,68.054,65.684,64.54,66.629,63.995,145.447
134.0038039162755,72.771,66.706,74.057,71.45,72.72,76.151,70.292,94.583
135.00380448438227,72.497,68.242,74.666,73.756,78.936,79.539,67.582,60.223
136.00380490347743,69.265,66.22,67.444,72.869,66.355,64.474,64.204,61.643
137.00380552373827,66.842,69.124,66.842,75.936,69.61,62.443,68.452,63.799
138.0038060043007,71.615,65.283,75.268,72.33,79.62,64.474,67.239,67.984
139.00380659569055,67.78,62.316,67.444,72.33,69.681,64.54,67.239,60.824
140.00380712747574,77.565,70.405,73.173,68.402,69.61,60.62,66.027,65.216
141.0038078399375,69.796,67.375,74.393,71.725,65.753,60.62,70.823,76.604
142.0038083344698,67.102,62.589,67.78,71.45,64.54,64.204,76.84,62.917
143.00380883738399,77.644,70.405,73.783,66.627,65.143,59.408,88.865,65.283
144.00380937289447,67.78,63.19,77.972,72.943,70.01,58.792,65.143,65.892
145.00380981899798,73.173,66.493,67.171,74.436,73.934,61.77,106.79,62.917
146.00381029490381,72.771,110.752,66.842,66.297,63.995,200.965,69.61,66.425
147.00381076242775,67.711,63.19,68.382,64.466,62.507,65.959,69.062,67.102
148.0038113007322,78.166,72.095,73.173,64.466,70.549,69.265,64.814,61.98
149.0038119694218,78.166,73.708,80.95,65.684,64.54,59.347,65.82,68.515
