Time(ms),Power(mW)
0,64408
100,64474
200,64408
300,64474
400,64474
500,64408
600,64408
700,64408
800,64408
900,64474
1000,64408
1100,64408
1200,64474
1300,64408
1400,64408
1500,64474
1600,64408
1700,64408
1800,64408
1900,64408
2000,140993
2100,144721
2200,239281
2300,259163
2400,248799
2500,265551
2600,251144
2700,136898
2800,85380
2900,85468
3000,84170
3100,83288
3200,83561
3300,83288
3400,83037
3500,83288
3600,82952
3700,82952
3800,82952
3900,82952
4000,82952
4100,83373
4200,82952
4300,82952
4400,82952
4500,82952
